5.783035443767967081e+04 1.262656500000000049e-14 3.016098500000000114e-16
5.783327129614166915e+04 1.247225949999999975e-14 2.945997499999999904e-16
5.783353761964116711e+04 1.287621700000000055e-14 2.947977999999999799e-16
5.783460666892799054e+04 1.306374299999999981e-14 3.044761600000000203e-16
5.783845647123362141e+04 1.316819700000000022e-14 3.051855000000000067e-16
5.783912555004299065e+04 1.316082600000000044e-14 2.868632200000000031e-16
5.783965542970245588e+04 1.318410399999999987e-14 2.966608500000000172e-16
5.784051597318446147e+04 1.263918849999999966e-14 3.820676299999999968e-16
5.784185597499070718e+04 1.263700100000000065e-14 3.041245600000000167e-16
5.784410067081427405e+04 1.191486499999999960e-14 2.711389999999999868e-16
5.784523056296970753e+04 1.245790699999999948e-14 2.865272399999999976e-16
5.784808745005924720e+04 1.219838799999999937e-14 2.772908000000000191e-16
5.785014740379663272e+04 1.171047100000000017e-14 2.713419799999999762e-16
5.785160982105322182e+04 1.140361000000000072e-14 2.651172999999999998e-16
5.785301179397994565e+04 1.160025800000000005e-14 2.754229800000000025e-16
5.785394114360586536e+04 1.173150900000000057e-14 2.786537500000000169e-16
5.785507317040596536e+04 1.139599139999999977e-14 3.475440199999999892e-16
5.785520671440986916e+04 1.172822200000000072e-14 3.738896000000000200e-16
5.785566511113443266e+04 1.145975700000000041e-14 3.823727199999999925e-16
5.785600750671716378e+04 1.125776900000000009e-14 3.815394799999999786e-16
5.785653343845514610e+04 1.119875099999999981e-14 2.635379000000000219e-16
5.785759353515348630e+04 1.145779500000000024e-14 2.738212100000000092e-16
5.785891845424609346e+04 1.103095900000000065e-14 2.684990399999999998e-16
5.785978235442452569e+04 1.059930099999999990e-14 2.568179800000000186e-16
5.786078005592266709e+04 1.078860900000000018e-14 2.660352999999999883e-16
5.786157710316865268e+04 1.079635650000000001e-14 2.575604000000000150e-16
5.786582936782555043e+04 1.065729400000000013e-14 2.512920400000000143e-16
5.786709104671164096e+04 1.065901299999999988e-14 2.555034399999999825e-16
5.786815409525257564e+04 1.083918399999999962e-14 2.591739999999999985e-16
5.786881825618273433e+04 1.056796300000000010e-14 2.621647999999999780e-16
5.787035954874158051e+04 1.094771699999999929e-14 2.547806500000000018e-16
5.787134377933158976e+04 1.095037999999999947e-14 2.536310999999999908e-16
5.787161829384888551e+04 1.064011600000000055e-14 2.570082499999999790e-16
5.787253936321364017e+04 1.081513999999999927e-14 2.571174599999999889e-16
5.787367784383833350e+04 1.122089100000000060e-14 2.585055399999999983e-16
5.787474572265006282e+04 1.078879900000000068e-14 2.672362000000000233e-16
5.787613613283271116e+04 1.088928199999999975e-14 2.593972199999999923e-16
5.787746482712878787e+04 1.100920699999999943e-14 2.627093000000000108e-16
